area,perimeter,width,height,aspect_ratio,target_size
522.1542623229325,92.3749942779541,34,32,1.0624999667968762,1.0
539.5522596174851,92.91361618041992,33,33,0.9999999696969707,1.0
287.5437280833721,68.478271484375,16,21,0.7619047256235845,1.0
348.0588288931176,75.56834697723389,24,27,0.8888888559670793,1.0
347.12146908044815,75.0751953125,22,18,1.2222221543209915,1.0
561.400040525943,94.77579498291016,33,33,0.9999999696969707,1.0
623.2706276401877,99.8801212310791,34,34,0.9999999705882362,1.0
546.3002717671916,93.49259567260742,33,33,0.9999999696969707,1.0
621.8368558064103,99.77128219604492,33,34,0.9705882067474058,1.0
436.09952142834663,83.53242301940918,31,30,1.03333329888889,1.0
531.4028401784599,92.20917510986328,32,33,0.969696940312214,1.0
543.9269472807646,93.28923416137695,33,33,0.9999999696969707,1.0
662.3895643055439,102.95721817016602,35,36,0.9722221952160502,1.0
400.15100361406803,80.03527450561523,29,30,0.9666666344444454,1.0
427.6985003128648,82.90062522888184,29,30,0.9666666344444454,1.0
587.5673736482859,96.96027946472168,34,35,0.9714285436734702,1.0
728.4193595573306,107.95771789550781,39,39,0.999999974358975,1.0
738.2375257834792,108.6826171875,39,39,0.999999974358975,1.0
545.1524879559875,93.39428520202637,34,33,1.0303029990817274,1.0
613.2465193551034,99.07526397705078,33,33,0.9999999696969707,1.0
566.7120105316862,95.22356605529785,35,34,1.0294117344290667,1.0
506.79833706095815,90.04894638061523,32,31,1.0322580312174827,1.0
388.1681096563116,79.12952041625977,29,29,0.9999999655172426,1.0
529.6911574043334,92.06409645080566,32,33,0.969696940312214,1.0
601.9528528992087,98.15558052062988,35,35,0.9999999714285723,1.0
544.8160052830353,93.36541557312012,34,33,1.0303029990817274,1.0
590.507873762399,97.23888397216797,36,35,1.0285713991836745,1.0
907.7166177257895,120.77494430541992,40,37,1.0810810518626743,1.0
526.5188169088215,91.86883354187012,34,33,1.0303029990817274,1.0
438.32825421728194,83.96610832214355,31,30,1.03333329888889,1.0
507.22412133961916,90.08682632446289,32,32,0.9999999687500011,1.0
533.7527617923915,92.41574287414551,33,33,0.9999999696969707,1.0
567.4747161716223,95.28717422485352,34,34,0.9999999705882362,1.0
537.9829225223511,92.77825546264648,34,34,0.9999999705882362,1.0
678.741622377187,104.21294593811035,37,37,0.9999999729729737,1.0
566.3221866935492,95.19040298461914,35,35,0.9999999714285723,1.0
756.9867218211293,110.0545883178711,38,39,0.9743589493754116,1.0
607.8777407314628,98.62109756469727,35,35,0.9999999714285723,1.0
522.2055043652654,91.40777206420898,33,32,1.0312499677734386,1.0
715.2113812305033,107.03837776184082,39,39,0.999999974358975,1.0
904.2128465361893,120.67407035827637,39,35,1.1142856824489806,1.0
503.29142467305064,89.9449691772461,32,33,0.969696940312214,1.0
512.3000317960978,90.73968124389648,33,33,0.9999999696969707,1.0
628.0248901862651,100.24367141723633,36,36,0.999999972222223,1.0
730.7293247859925,108.12834930419922,39,39,0.999999974358975,1.0
691.8170420322567,105.2100944519043,38,38,0.9999999736842113,1.0
703.9674076084048,106.13186073303223,37,37,0.9999999729729737,1.0
731.2617718148977,108.16816329956055,38,39,0.9743589493754116,1.0
725.5394031051546,107.74600601196289,37,37,0.9999999729729737,1.0
469.33095248043537,86.65886688232422,30,30,0.9999999666666678,1.0
699.5570719540119,105.79690361022949,38,39,0.9743589493754116,1.0
539.4721243623644,92.9064712524414,33,33,0.9999999696969707,1.0
672.0721020288765,103.69788360595703,37,37,0.9999999729729737,1.0
532.4908479377627,92.34135055541992,33,33,0.9999999696969707,1.0
601.8520698286593,98.1313533782959,36,35,1.0285713991836745,1.0
649.8614277616143,101.96989059448242,37,37,0.9999999729729737,1.0
624.8582715243101,99.98896598815918,36,36,0.999999972222223,1.0
536.9803757369518,92.6921272277832,33,33,0.9999999696969707,1.0
379.4266218729317,78.00217247009277,29,28,1.035714248724491,1.0
518.3404890643433,91.06863594055176,33,34,0.9705882067474058,1.0
622.3194705657661,99.78976440429688,34,34,0.9999999705882362,1.0
540.6452689133584,93.00997924804688,32,32,0.9999999687500011,1.0
745.256282184273,109.19876098632812,38,38,0.9999999736842113,1.0
594.6949407579377,97.54575729370117,36,35,1.0285713991836745,1.0
820.7423309739679,114.59546279907227,40,40,0.9999999750000007,1.0
471.4667629543692,86.85332107543945,30,30,0.9999999666666678,1.0
579.2981628337875,96.27473258972168,35,35,0.9999999714285723,1.0
527.1721558868885,91.87712860107422,32,33,0.969696940312214,1.0
536.1558366082609,92.63337326049805,32,32,0.9999999687500011,1.0
505.3716656193137,89.98211669921875,32,33,0.969696940312214,1.0
607.7431585304439,98.62164688110352,35,35,0.9999999714285723,1.0
403.2318235337734,80.32564163208008,29,29,0.9999999655172426,1.0
842.1006741318852,116.08209037780762,40,41,0.9756097323022017,1.0
713.8659547045827,106.87853240966797,36,36,0.999999972222223,1.0
492.6426586769521,88.78583908081055,31,30,1.03333329888889,1.0
678.2236293703318,104.17121887207031,38,37,1.0270269992695407,1.0
564.978172596544,95.07912826538086,34,33,1.0303029990817274,1.0
738.9033127380535,108.73240089416504,39,39,0.999999974358975,1.0
690.7975179068744,105.15690994262695,38,37,1.0270269992695407,1.0
608.2066924162209,98.64809799194336,36,36,0.999999972222223,1.0
461.19462198391557,85.90202331542969,31,32,0.9687499697265636,1.0
397.9406595546752,79.79403305053711,30,29,1.0344827229488716,1.0
483.98124296963215,87.99856948852539,32,31,1.0322580312174827,1.0
660.8829596731812,102.83088493347168,37,37,0.9999999729729737,1.0
403.9192885234952,80.39116287231445,28,29,0.9655172080856135,1.0
526.0888275764883,91.74678039550781,34,33,1.0303029990817274,1.0
684.2112019322813,104.63003349304199,38,38,0.9999999736842113,1.0
437.19732000119984,83.6373176574707,30,31,0.9677419042663902,1.0
620.9675326943398,99.68105888366699,36,35,1.0285713991836745,1.0
748.131527217105,109.4083080291748,39,40,0.9749999756250006,1.0
720.5663126604632,107.37377548217773,39,38,1.0263157624653747,1.0
629.4116845726967,100.3524169921875,26,27,0.9629629272976693,1.0
718.28405283764,107.203369140625,28,28,0.9999999642857155,1.0
506.54322700574994,90.02606201171875,24,23,1.0434782155009472,1.0
302.17422707378864,69.8933515548706,21,23,0.9130434385633287,1.0
477.59010193683207,87.41560554504395,32,32,0.9999999687500011,1.0
872.7981494665146,118.20117568969727,41,40,1.0249999743750007,1.0
720.717933781445,107.38507843017578,39,39,0.999999974358975,1.0
447.6859938558191,84.63465690612793,31,31,0.9999999677419364,1.0
516.7083151098341,91.01814270019531,33,33,0.9999999696969707,1.0
550.1087333224714,93.81786155700684,33,33,0.9999999696969707,1.0
623.4522752463818,99.88744926452637,34,34,0.9999999705882362,1.0
514.2940096836537,90.71269989013672,33,33,0.9999999696969707,1.0
501.5537865385413,89.58293533325195,31,30,1.03333329888889,1.0
596.1213049292564,97.66305160522461,35,34,1.0294117344290667,1.0
713.1048548407853,106.81640625,39,39,0.999999974358975,1.0
718.130599022843,107.19215393066406,39,38,1.0263157624653747,1.0
840.0246482519433,115.93350791931152,42,41,1.0243902189173117,1.0
491.47206773236394,88.67694664001465,32,32,0.9999999687500011,1.0
589.2758831195533,97.10074615478516,35,35,0.9999999714285723,1.0
668.3990506231785,103.41404724121094,37,37,0.9999999729729737,1.0
632.8603245839477,100.62724304199219,37,36,1.027777749228396,1.0
743.2951394431293,109.05416870117188,39,39,0.999999974358975,1.0
499.5150090139359,89.39989280700684,33,33,0.9999999696969707,1.0
267.90148293599486,65.88707733154297,23,24,0.9583332934027794,1.0
622.8235995098948,99.82608032226562,35,35,0.9999999714285723,1.0
658.1191988661885,102.61571502685547,37,36,1.027777749228396,1.0
504.52227520011365,89.84682273864746,32,33,0.969696940312214,1.0
346.12554183602333,74.45309829711914,23,24,0.9583332934027794,1.0
501.34763916023076,89.5644645690918,33,33,0.9999999696969707,1.0
544.9250330738723,93.37499618530273,34,34,0.9999999705882362,1.0
449.2290183585137,84.78066062927246,30,30,0.9999999666666678,1.0
592.9912071861327,97.40907287597656,35,35,0.9999999714285723,1.0
460.77820873633027,85.94922065734863,31,31,0.9999999677419364,1.0
476.2466365545988,87.2924690246582,31,31,0.9999999677419364,1.0
535.1632333565503,92.53488540649414,33,33,0.9999999696969707,1.0
729.1420113071799,108.01184272766113,36,36,0.999999972222223,1.0
502.24406752735376,89.64354705810547,30,30,0.9999999666666678,1.0
711.7345544546843,106.71375274658203,38,39,0.9743589493754116,1.0
1259.8822164200246,141.97945022583008,50,50,0.9999999800000005,1.0
1246.048420516774,141.20009994506836,51,50,1.0199999796000006,1.0
428.8679187465459,82.85453987121582,30,30,0.9999999666666678,1.0
488.37486470490694,88.5147876739502,30,32,0.937499970703126,1.0
291.79393019527197,68.33082962036133,24,24,0.999999958333335,1.0
453.6059508640319,85.40242004394531,30,31,0.9677419042663902,1.0
405.067237559706,80.50678634643555,28,28,0.9999999642857155,1.0
577.8609069697559,96.15534973144531,35,35,0.9999999714285723,1.0
619.0379480347037,99.52219772338867,36,36,0.999999972222223,1.0
540.4863439053297,92.99370956420898,34,34,0.9999999705882362,1.0
623.9974866528064,99.93801689147949,34,34,0.9999999705882362,1.0
631.8884400427341,100.5500373840332,35,36,0.9722221952160502,1.0
672.9925009086728,103.76893615722656,36,36,0.999999972222223,1.0
511.39516554027796,90.45657730102539,32,33,0.969696940312214,1.0
712.546121224761,106.91274070739746,36,35,1.0285713991836745,1.0
679.8812452331185,104.29851913452148,37,37,0.9999999729729737,1.0
522.0813908334821,91.39737129211426,33,33,0.9999999696969707,1.0
583.252603109926,96.60342216491699,34,34,0.9999999705882362,1.0
519.2010701838881,91.14418029785156,33,33,0.9999999696969707,1.0
639.7956709265709,101.17703247070312,37,37,0.9999999729729737,1.0
211.01437913253903,58.85602951049805,19,22,0.863636324380167,1.0
477.2878017388284,87.387939453125,32,31,1.0322580312174827,1.0
592.3015388026834,97.35014724731445,35,35,0.9999999714285723,1.0
410.1423351187259,81.00813102722168,29,30,0.9666666344444454,1.0
608.6032123230398,98.68063545227051,36,36,0.999999972222223,1.0
724.9033964499831,107.69644737243652,39,39,0.999999974358975,1.0
706.8647154923528,106.3480167388916,39,39,0.999999974358975,1.0
590.3164637051523,97.18667602539062,35,35,0.9999999714285723,1.0
514.4970136098564,90.74185752868652,32,32,0.9999999687500011,1.0
731.0127177461982,108.15137100219727,38,38,0.9999999736842113,1.0
695.1301627978683,105.46159362792969,38,38,0.9999999736842113,1.0
761.9489318933338,110.41713905334473,38,38,0.9999999736842113,1.0
464.5618006065488,86.21533584594727,28,28,0.9999999642857155,1.0
707.734510794282,106.41344833374023,38,38,0.9999999736842113,1.0
545.4685887135565,93.42145538330078,34,34,0.9999999705882362,1.0
427.39755449816585,82.69464492797852,31,31,0.9999999677419364,1.0
539.5025178212672,92.90909576416016,34,34,0.9999999705882362,1.0
601.8590787360445,98.8505630493164,28,33,0.8484848227731873,1.0
352.07782120257616,75.05709075927734,27,27,0.9999999629629643,1.0
330.94684705138206,72.8258056640625,20,19,1.0526315235457093,1.0
617.2672935370356,99.38032531738281,36,35,1.0285713991836745,1.0
447.8213113024831,84.64740753173828,30,30,0.9999999666666678,1.0
487.5282122567296,88.40032958984375,31,31,0.9999999677419364,1.0
442.8116985037923,84.17319869995117,31,30,1.03333329888889,1.0
569.5511084534228,95.46171569824219,35,35,0.9999999714285723,1.0
